Options:
Model:                           Discrete: Independent
Tree File Name:                  /Users/sarthakshukla/Desktop/MorphTest/GallWasps_Morph.nex.run1.t
Data File Name:                  /Users/sarthakshukla/Desktop/MorphTest/gallwasps_charmatrix.txt
Log File Name:                   1000TreesDependentTest.log.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2033153405
Analsis Type:                    Maximum Likelihood
ML Attempt Per Tree:             10
ML Max Evaluations:              20000
ML Tolerance:                    0.000001
ML Algorithm:                    BOBYQA
Rate Range:                      0.000000 - 100.000000
Precision:                       64 bits
Cores:                           1
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Tree Information
     Trees:                      1001
     Taxa:                       41
     Sites:                      1
     States:                     4
Tree No	Lh	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
209	-36.527288	92.509857	80.946128	49.999657	99.999326	0.250000	0.250000	0.250000	0.250000	
210	-36.527289	100.000000	87.500005	50.000044	100.000000	0.250000	0.250000	0.250000	0.250000	
211	-36.523008	99.991890	87.492895	12.787266	25.515857	0.250000	0.250000	0.250000	0.250000	
212	-36.230220	65.917871	57.677979	0.393975	4.511912	0.126399	0.373601	0.126399	0.373601	
213	-36.527293	100.000000	87.500023	50.000196	100.000000	0.250000	0.250000	0.250000	0.250000	
214	-36.527289	100.000000	87.499994	50.000058	100.000000	0.250000	0.250000	0.250000	0.250000	
215	-36.493559	16.761641	14.533243	20.624189	41.223845	0.250000	0.250000	0.250000	0.250000	
216	-36.527179	99.999993	87.499993	22.452137	44.898161	0.250000	0.250000	0.250000	0.250000	
217	-36.527288	99.999996	87.499996	50.000009	100.000000	0.250000	0.250000	0.250000	0.250000	
218	-36.524265	25.479590	22.284984	50.000011	100.000000	0.250000	0.250000	0.250000	0.250000	
219	-36.527295	100.000000	87.500039	50.000255	100.000000	0.250000	0.250000	0.250000	0.250000	
220	-36.518875	100.000000	87.500032	14.221661	28.283661	0.250000	0.250000	0.250000	0.250000	
221	-36.527295	99.999996	87.500007	50.000265	100.000000	0.250000	0.250000	0.250000	0.250000	
222	-36.527384	100.000000	87.500313	50.002510	100.000000	0.250000	0.250000	0.250000	0.250000	
223	-36.526674	39.399703	34.515824	50.003871	100.000000	0.250000	0.250000	0.250000	0.250000	
224	-36.442486	16.789874	14.561106	22.089349	44.139397	0.250002	0.250002	0.249998	0.249998	
225	-36.527299	100.000000	87.500041	50.000366	100.000000	0.250000	0.250000	0.250000	0.250000	
226	-36.527289	100.000000	87.500002	50.000076	100.000000	0.250000	0.250000	0.250000	0.250000	
227	-36.527288	99.999939	87.499947	50.000013	100.000000	0.250000	0.250000	0.250000	0.250000	
228	-36.527326	100.000000	87.500174	50.001040	100.000000	0.250000	0.250000	0.250000	0.250000	
229	-36.527326	100.000000	87.500174	50.001040	100.000000	0.250000	0.250000	0.250000	0.250000	
230	-36.501015	100.000000	87.500005	9.934644	19.982395	0.250000	0.250000	0.250000	0.250000	
231	-36.164979	18.857664	16.414291	1.469708	6.041015	0.235910	0.264090	0.235910	0.264090	
232	-36.501973	17.886683	15.703734	50.000167	100.000000	0.250000	0.250000	0.250000	0.250000	
233	-36.527313	100.000000	87.500102	50.000776	100.000000	0.250000	0.250000	0.250000	0.250000	
234	-36.527288	99.999937	87.499933	49.999993	100.000000	0.250000	0.250000	0.250000	0.250000	
235	-36.525834	27.057000	23.656657	40.604677	81.209274	0.250000	0.250000	0.250000	0.250000	
236	-35.874399	63.940797	55.948180	1.106021	4.796692	0.222072	0.277928	0.222072	0.277928	
237	-36.371958	13.799225	11.876272	0.438930	3.294982	0.099059	0.400943	0.099058	0.400941	
238	-35.977985	30.262465	26.452574	1.251453	5.153375	0.216509	0.283491	0.216509	0.283491	
239	-36.438494	31.593830	27.626149	1.691853	5.737885	0.222549	0.277451	0.222549	0.277451	
240	-34.085663	85.194930	74.545587	0.000000	4.234934	0.000000	0.500000	0.000000	0.500000	
241	-35.091202	25.838611	22.549776	0.000000	4.358988	0.000000	0.500000	0.000000	0.500000	
242	-36.527288	99.999984	87.499984	50.000010	100.000000	0.250000	0.250000	0.250000	0.250000	
243	-36.527287	100.000000	87.500011	41.135721	82.271281	0.250000	0.250000	0.250000	0.250000	
244	-36.527287	86.257081	75.474918	49.084153	98.168281	0.250000	0.250000	0.250000	0.250000	
245	-36.486625	15.144035	13.182632	18.120376	36.218859	0.250000	0.250000	0.250000	0.250000	
246	-36.487137	18.706782	16.281807	26.228413	52.442431	0.250000	0.250000	0.250000	0.250000	
247	-36.374301	99.988574	87.489996	1.983765	4.997286	0.243342	0.256658	0.243342	0.256658	
248	-36.524305	100.000000	87.500018	14.270480	28.455039	0.250000	0.250000	0.250000	0.250000	
249	-36.421827	22.961891	19.943782	6.225525	12.144585	0.249913	0.250087	0.249913	0.250087	
250	-36.303255	23.106116	20.070598	5.311782	10.067386	0.249861	0.250139	0.249861	0.250139	
251	-36.514682	100.000000	87.500005	10.676345	21.160162	0.250000	0.250000	0.250000	0.250000	
252	-36.527725	69.730728	61.020830	50.011731	100.000000	0.250000	0.250000	0.250000	0.250000	
253	-36.527321	100.000000	87.500032	50.001006	100.000000	0.250000	0.250000	0.250000	0.250000	
254	-36.527464	100.000000	87.501183	50.003794	100.000000	0.250000	0.250000	0.250000	0.250000	
255	-36.521376	100.000000	87.501268	20.307924	40.496066	0.250000	0.250000	0.250000	0.250000	
256	-36.520681	31.436484	27.484687	14.553340	29.013314	0.250000	0.250000	0.250000	0.250000	
257	-36.524883	42.310256	37.010982	19.141768	38.222081	0.250000	0.250000	0.250000	0.250000	
258	-36.516276	23.600092	20.676317	50.000422	100.000000	0.250000	0.250000	0.250000	0.250000	
259	-36.527193	45.751256	40.028812	41.537843	83.075522	0.250000	0.250000	0.250000	0.250000	
260	-36.525841	27.844904	24.345864	25.700289	51.398118	0.250000	0.250000	0.250000	0.250000	
261	-36.527367	100.000000	87.500397	50.002100	100.000000	0.250000	0.250000	0.250000	0.250000	
262	-36.501398	21.512519	18.954332	50.001185	100.000000	0.250000	0.250000	0.250000	0.250000	
263	-36.494998	14.747631	13.018315	50.000061	100.000000	0.250000	0.250000	0.250000	0.250000	
264	-36.527289	100.000000	87.500015	50.000046	100.000000	0.250000	0.250000	0.250000	0.250000	
265	-36.526709	100.000000	87.500028	21.856305	43.692922	0.250000	0.250000	0.250000	0.250000	
266	-36.527314	100.000000	87.500172	50.000748	100.000000	0.250000	0.250000	0.250000	0.250000	
267	-36.527369	100.000000	87.500511	50.002079	100.000000	0.250000	0.250000	0.250000	0.250000	
268	-36.527321	100.000000	87.500168	50.000911	100.000000	0.250000	0.250000	0.250000	0.250000	
269	-36.527308	100.000000	87.500078	50.000572	100.000000	0.250000	0.250000	0.250000	0.250000	
270	-36.524404	24.363197	21.300453	46.866961	93.733939	0.250000	0.250000	0.250000	0.250000	
271	-36.527287	93.824457	82.096408	49.560942	99.121892	0.250000	0.250000	0.250000	0.250000	
272	-36.509279	15.952237	13.923824	50.000014	100.000000	0.250000	0.250000	0.250000	0.250000	
273	-36.527288	99.998993	87.499151	50.000018	100.000000	0.250000	0.250000	0.250000	0.250000	
274	-36.527296	100.000000	87.500026	50.000308	100.000000	0.250000	0.250000	0.250000	0.250000	
275	-36.512341	22.714572	19.768157	29.093842	58.178932	0.250001	0.250001	0.249999	0.249999	
276	-36.527176	50.637159	44.297098	50.000477	100.000000	0.250000	0.250000	0.250000	0.250000	
277	-36.527298	100.000000	87.500051	50.000317	100.000000	0.250000	0.250000	0.250000	0.250000	
278	-36.527323	100.000000	87.500172	50.001009	100.000000	0.250000	0.250000	0.250000	0.250000	
279	-36.527294	100.000000	87.500023	50.000204	100.000000	0.250000	0.250000	0.250000	0.250000	
280	-36.527289	100.000000	87.500002	50.000047	100.000000	0.250000	0.250000	0.250000	0.250000	
281	-36.527386	100.000000	87.500566	50.002381	100.000000	0.250000	0.250000	0.250000	0.250000	
282	-36.527368	100.000000	87.500473	50.001922	100.000000	0.250000	0.250000	0.250000	0.250000	
283	-36.501634	26.224435	22.843335	13.676067	27.148685	0.250000	0.250000	0.250000	0.250000	
284	-36.526188	31.361506	27.422605	27.931743	55.860889	0.250000	0.250000	0.250000	0.250000	
285	-36.526223	21.914871	19.175786	47.800851	95.601709	0.250000	0.250000	0.250000	0.250000	
286	-36.527282	99.055855	86.673878	29.801081	59.601659	0.250000	0.250000	0.250000	0.250000	
287	-36.527274	51.270782	44.861201	40.772301	81.544523	0.250000	0.250000	0.250000	0.250000	
288	-36.526917	33.690065	29.472314	50.000006	100.000000	0.250000	0.250000	0.250000	0.250000	
289	-36.527310	100.000000	87.500119	50.000626	100.000000	0.250000	0.250000	0.250000	0.250000	
290	-36.527025	38.510153	33.702157	50.000071	100.000000	0.250000	0.250000	0.250000	0.250000	
291	-36.509059	18.331929	16.058163	50.000042	100.000000	0.250000	0.250000	0.250000	0.250000	
292	-36.467541	81.027311	70.898908	1.423800	5.401423	0.193739	0.306261	0.193739	0.306261	
293	-36.231678	86.764618	75.919044	1.198773	4.600033	0.184388	0.315612	0.184388	0.315612	
294	-36.246175	88.262626	77.229784	1.216307	4.154109	0.192809	0.307191	0.192809	0.307191	
295	-36.514027	99.995451	87.496016	10.519021	20.869081	0.250000	0.250000	0.250000	0.250000	
296	-36.527293	99.999981	87.500012	50.000180	100.000000	0.250000	0.250000	0.250000	0.250000	
297	-36.493706	99.996822	87.497214	5.752539	11.271790	0.250002	0.249998	0.250002	0.249998	
298	-36.502978	22.849050	19.854490	18.079718	36.095844	0.250000	0.250000	0.250000	0.250000	
299	-36.527213	44.273211	38.735745	50.000014	100.000000	0.250000	0.250000	0.250000	0.250000	
300	-36.527283	48.763918	42.669195	50.000064	100.000000	0.250000	0.250000	0.250000	0.250000	
301	-36.527289	100.000000	87.500005	50.000064	100.000000	0.250000	0.250000	0.250000	0.250000	
302	-36.527238	42.156076	36.889143	50.000058	100.000000	0.250000	0.250000	0.250000	0.250000	
303	-36.527361	100.000000	87.500404	50.001825	100.000000	0.250000	0.250000	0.250000	0.250000	
304	-36.527361	100.000000	87.500404	50.001825	100.000000	0.250000	0.250000	0.250000	0.250000	
305	-36.513485	23.679361	20.615417	17.108497	34.148641	0.250000	0.250000	0.250000	0.250000	
306	-36.527293	100.000000	87.499989	50.000181	100.000000	0.250000	0.250000	0.250000	0.250000	
307	-36.527288	99.999936	87.499960	49.999996	100.000000	0.250000	0.250000	0.250000	0.250000	
308	-36.527288	100.000000	87.500005	50.000040	100.000000	0.250000	0.250000	0.250000	0.250000	
309	-36.479120	100.000000	87.506214	12.118698	23.853308	0.250000	0.250000	0.250000	0.250000	
310	-36.527288	99.845079	87.364445	50.000010	100.000000	0.250000	0.250000	0.250000	0.250000	
311	-36.527288	99.915099	87.425700	50.000013	100.000000	0.250000	0.250000	0.250000	0.250000	
312	-36.527283	43.461739	38.029312	49.915416	99.830819	0.250000	0.250000	0.250000	0.250000	
313	-36.527289	100.000000	87.499992	50.000055	100.000000	0.250000	0.250000	0.250000	0.250000	
314	-36.527290	100.000000	87.500012	50.000088	100.000000	0.250000	0.250000	0.250000	0.250000	
315	-36.527288	100.000000	87.500012	50.000014	100.000000	0.250000	0.250000	0.250000	0.250000	
316	-36.527288	100.000000	87.500012	50.000014	100.000000	0.250000	0.250000	0.250000	0.250000	
317	-36.527288	100.000000	87.500012	50.000014	100.000000	0.250000	0.250000	0.250000	0.250000	
318	-35.537859	98.809799	86.458552	0.337322	4.324865	0.118219	0.381781	0.118219	0.381781	
319	-36.283506	99.999987	87.500002	0.814866	4.357987	0.198238	0.301762	0.198238	0.301762	
320	-36.527288	99.999907	87.499907	50.000022	100.000000	0.250000	0.250000	0.250000	0.250000	
321	-36.527287	99.999988	87.499989	50.000004	100.000000	0.250000	0.250000	0.250000	0.250000	
322	-36.527288	99.999912	87.499930	50.000042	100.000000	0.250000	0.250000	0.250000	0.250000	
323	-36.527288	99.999912	87.499930	50.000042	100.000000	0.250000	0.250000	0.250000	0.250000	
324	-36.527328	100.000000	87.500204	50.001067	100.000000	0.250000	0.250000	0.250000	0.250000	
325	-36.182072	83.512759	73.073655	0.304855	4.152668	0.119900	0.380100	0.119900	0.380100	
326	-36.527303	100.000000	87.500092	50.000464	100.000000	0.250000	0.250000	0.250000	0.250000	
327	-36.527364	100.000000	87.500427	50.001873	100.000000	0.250000	0.250000	0.250000	0.250000	
328	-36.527299	100.000000	87.500043	50.000357	100.000000	0.250000	0.250000	0.250000	0.250000	
329	-36.525441	99.450884	87.019525	13.163485	26.313602	0.250000	0.250000	0.250000	0.250000	
330	-36.526489	100.000000	87.500006	15.721664	31.442357	0.250000	0.250000	0.250000	0.250000	
331	-36.390428	99.999681	87.499656	3.410154	7.964710	0.249543	0.250457	0.249543	0.250457	
332	-36.527292	100.000000	87.500026	50.000191	100.000000	0.250000	0.250000	0.250000	0.250000	
333	-36.527289	100.000000	87.500017	50.000058	100.000000	0.250000	0.250000	0.250000	0.250000	
334	-36.527605	100.000000	87.502011	50.006514	100.000000	0.250000	0.250000	0.250000	0.250000	
335	-36.097470	55.602135	48.651740	1.459655	5.634996	0.232735	0.267265	0.232735	0.267265	
336	-36.526542	30.042944	26.301533	50.000055	100.000000	0.250000	0.250000	0.250000	0.250000	
337	-36.528233	100.000000	87.506540	50.016577	100.000000	0.250000	0.250000	0.250000	0.250000	
338	-36.527455	100.000000	87.500957	50.003934	100.000000	0.250000	0.250000	0.250000	0.250000	
339	-36.527380	100.000000	87.500455	50.002384	100.000000	0.250000	0.250000	0.250000	0.250000	
340	-36.527290	100.000000	87.500023	50.000108	100.000000	0.250000	0.250000	0.250000	0.250000	
341	-36.261053	100.000000	87.500025	1.861191	5.168215	0.239786	0.260214	0.239786	0.260214	
342	-36.527290	100.000000	87.500049	50.000099	100.000000	0.250000	0.250000	0.250000	0.250000	
343	-35.906298	99.550409	87.106531	0.000000	3.216970	0.000000	0.500000	0.000000	0.500000	
344	-36.526768	37.559780	32.853915	26.362682	52.719841	0.250000	0.250000	0.250000	0.250000	
345	-36.525014	32.514201	28.426836	18.844401	37.655517	0.250000	0.250000	0.250000	0.250000	
346	-36.525096	31.334558	27.394806	19.167214	38.308589	0.250000	0.250000	0.250000	0.250000	
347	-36.527151	40.553184	35.480261	32.826361	65.652214	0.250000	0.250000	0.250000	0.250000	
348	-36.527296	100.000000	87.500012	50.000283	100.000000	0.250000	0.250000	0.250000	0.250000	
349	-36.522862	30.007731	26.207444	23.123708	46.227529	0.250000	0.250000	0.250000	0.250000	
350	-36.527288	96.614187	84.537431	49.999579	99.999149	0.250000	0.250000	0.250000	0.250000	
351	-36.527278	59.300532	51.887846	28.477833	56.954200	0.250000	0.250000	0.250000	0.250000	
352	-36.527288	100.000000	87.500010	50.000019	99.999999	0.250000	0.250000	0.250000	0.250000	
353	-36.527357	100.000000	87.500381	50.001722	100.000000	0.250000	0.250000	0.250000	0.250000	
354	-36.527291	100.000000	87.500001	50.000130	100.000000	0.250000	0.250000	0.250000	0.250000	
355	-36.527291	100.000000	87.500021	50.000116	100.000000	0.250000	0.250000	0.250000	0.250000	
356	-36.527377	100.000000	87.500490	50.002145	100.000000	0.250000	0.250000	0.250000	0.250000	
357	-36.527288	100.000000	87.499998	50.000034	100.000000	0.250000	0.250000	0.250000	0.250000	
358	-36.526340	34.836227	30.504235	50.000432	100.000000	0.250000	0.250000	0.250000	0.250000	
359	-36.524058	32.946987	28.896208	50.003094	100.000000	0.250000	0.250000	0.250000	0.250000	
360	-36.527308	100.000000	87.500101	50.000597	100.000000	0.250000	0.250000	0.250000	0.250000	
361	-36.527316	100.000000	87.500142	50.000785	100.000000	0.250000	0.250000	0.250000	0.250000	
362	-36.005971	99.913673	87.424471	1.315571	4.885197	0.242751	0.257249	0.242751	0.257249	
363	-36.527313	100.000000	87.500121	50.000686	100.000000	0.250000	0.250000	0.250000	0.250000	
364	-36.526204	29.235662	25.604137	50.000771	100.000000	0.250000	0.250000	0.250000	0.250000	
365	-36.498379	23.655619	20.751620	50.002696	100.000000	0.250000	0.250000	0.250000	0.250000	
366	-36.528354	100.000000	87.507700	50.017627	100.000000	0.250000	0.250000	0.250000	0.250000	
367	-36.527537	100.000000	87.501564	50.005183	100.000000	0.250000	0.250000	0.250000	0.250000	
368	-36.527288	99.999944	87.499961	50.000040	100.000000	0.250000	0.250000	0.250000	0.250000	
369	-36.527287	100.000000	87.499999	42.530271	85.060489	0.250000	0.250000	0.250000	0.250000	
370	-36.444305	24.798684	21.596310	8.281501	16.531952	0.250000	0.250000	0.250000	0.250000	
371	-36.438269	15.563120	13.547497	11.002044	21.966636	0.250000	0.250000	0.250000	0.250000	
372	-36.527287	100.000000	87.500008	39.169762	78.339387	0.250000	0.250000	0.250000	0.250000	
373	-36.494853	15.093099	13.218721	50.000023	100.000000	0.250000	0.250000	0.250000	0.250000	
374	-36.527003	100.000000	87.499998	18.490389	36.952151	0.250000	0.250000	0.250000	0.250000	
375	-36.527288	100.000000	87.499971	50.000039	100.000000	0.250000	0.250000	0.250000	0.250000	
376	-36.527288	99.999979	87.499994	49.999988	100.000000	0.250000	0.250000	0.250000	0.250000	
377	-35.669323	17.559967	15.200414	0.597006	4.497843	0.102495	0.397506	0.102495	0.397504	
378	-35.833669	15.370803	13.287231	0.657114	4.317498	0.111424	0.388579	0.111423	0.388574	
379	-36.513412	16.960166	14.758609	14.327135	28.633403	0.250000	0.250000	0.250000	0.250000	
380	-36.527288	93.912725	82.173636	49.999994	100.000000	0.250000	0.250000	0.250000	0.250000	
381	-36.527313	100.000000	87.500116	50.000711	100.000000	0.250000	0.250000	0.250000	0.250000	
382	-36.527288	99.999977	87.500002	50.000012	100.000000	0.250000	0.250000	0.250000	0.250000	
383	-36.527292	99.999993	87.500005	50.000161	100.000000	0.250000	0.250000	0.250000	0.250000	
384	-36.516726	99.933201	87.441577	7.475420	14.888000	0.249951	0.250049	0.249951	0.250049	
385	-36.526484	27.366000	23.955139	50.000007	100.000000	0.250000	0.250000	0.250000	0.250000	
386	-36.472395	20.703034	17.913761	12.794302	25.387172	0.250000	0.250000	0.250000	0.250000	
387	-36.521068	26.886544	23.578708	50.000349	100.000000	0.250000	0.250000	0.250000	0.250000	
388	-36.509964	23.907106	20.782566	19.806888	39.557216	0.250000	0.250000	0.250000	0.250000	
389	-35.773739	100.000000	87.500249	1.333415	5.524602	0.223458	0.276542	0.223458	0.276542	
390	-36.503934	22.198850	19.284851	13.835128	27.553217	0.250000	0.250000	0.250000	0.250000	
391	-36.511968	19.273789	16.951472	50.000089	100.000000	0.250000	0.250000	0.250000	0.250000	
392	-36.506878	20.546226	18.085658	50.000413	100.000000	0.250000	0.250000	0.250000	0.250000	
393	-36.461582	13.213237	11.662589	50.000097	100.000000	0.250004	0.250004	0.249996	0.249996	
394	-36.475054	14.675230	12.938917	50.000188	100.000000	0.250000	0.250000	0.250000	0.250000	
395	-36.527330	100.000000	87.500115	50.001216	100.000000	0.250000	0.250000	0.250000	0.250000	
396	-36.467300	16.213811	14.054905	15.066722	30.062107	0.250000	0.250000	0.250000	0.250000	
397	-36.527326	100.000000	87.500129	50.001086	100.000000	0.250000	0.250000	0.250000	0.250000	
398	-36.527655	100.000000	87.501497	50.008102	100.000000	0.250000	0.250000	0.250000	0.250000	
399	-36.527329	100.000000	87.500408	50.001088	100.000000	0.250000	0.250000	0.250000	0.250000	
400	-36.523071	26.714474	23.421468	50.004058	100.000000	0.250000	0.250000	0.250000	0.250000	
401	-36.527288	100.000000	87.499993	50.000038	100.000000	0.250000	0.250000	0.250000	0.250000	
402	-36.527288	99.999981	87.499998	50.000033	100.000000	0.250000	0.250000	0.250000	0.250000	
403	-36.527569	100.000000	87.501779	50.005802	100.000000	0.250000	0.250000	0.250000	0.250000	
404	-36.527288	100.000000	87.500028	49.999998	99.999990	0.250000	0.250000	0.250000	0.250000	
405	-36.527311	100.000000	87.500060	50.000750	100.000000	0.250000	0.250000	0.250000	0.250000	
406	-36.527288	99.999760	87.499798	50.000000	100.000000	0.250000	0.250000	0.250000	0.250000	
407	-36.527296	100.000000	87.500019	50.000286	100.000000	0.250000	0.250000	0.250000	0.250000	
408	-36.532168	100.000000	87.536968	50.060288	100.000000	0.250000	0.250000	0.250000	0.250000	
409	-36.527366	100.000000	87.500400	50.001950	100.000000	0.250000	0.250000	0.250000	0.250000	
410	-36.527289	99.999981	87.499991	50.000058	100.000000	0.250000	0.250000	0.250000	0.250000	
411	-36.527288	99.999914	87.499932	50.000032	100.000000	0.250000	0.250000	0.250000	0.250000	
412	-36.527288	99.999914	87.499932	50.000032	100.000000	0.250000	0.250000	0.250000	0.250000	
413	-36.527288	99.999914	87.499929	50.000003	100.000000	0.250000	0.250000	0.250000	0.250000	
414	-36.527350	100.000000	87.500326	50.001558	100.000000	0.250000	0.250000	0.250000	0.250000	
415	-36.451436	16.156963	13.965066	13.045644	25.942075	0.250000	0.250000	0.250000	0.250000	
416	-36.527315	100.000000	87.500115	50.000764	100.000000	0.250000	0.250000	0.250000	0.250000	
417	-36.527288	99.999981	87.499984	50.000025	100.000000	0.250000	0.250000	0.250000	0.250000	
418	-36.527288	99.999981	87.499978	49.999999	100.000000	0.250000	0.250000	0.250000	0.250000	
419	-36.527288	100.000000	87.500000	50.000027	100.000000	0.250000	0.250000	0.250000	0.250000	
420	-36.527288	100.000000	87.500024	50.000033	100.000000	0.250000	0.250000	0.250000	0.250000	
421	-36.527287	100.000000	87.500003	45.622748	91.245467	0.250000	0.250000	0.250000	0.250000	
422	-36.527289	63.933786	55.942317	50.000164	100.000000	0.250000	0.250000	0.250000	0.250000	
423	-36.527289	99.999987	87.500004	50.000058	100.000000	0.250000	0.250000	0.250000	0.250000	
424	-36.527286	67.453433	59.021359	50.000120	100.000000	0.250000	0.250000	0.250000	0.250000	
425	-36.527292	100.000000	87.500021	50.000165	100.000000	0.250000	0.250000	0.250000	0.250000	
426	-36.527287	100.000000	87.500002	49.999989	99.999968	0.250000	0.250000	0.250000	0.250000	
427	-36.527288	100.000000	87.500002	49.999989	99.999968	0.250000	0.250000	0.250000	0.250000	
428	-36.527302	100.000000	87.500064	50.000437	100.000000	0.250000	0.250000	0.250000	0.250000	
429	-36.527288	99.999630	87.499671	49.999999	100.000000	0.250000	0.250000	0.250000	0.250000	
430	-36.527302	100.000000	87.500060	50.000423	100.000000	0.250000	0.250000	0.250000	0.250000	
431	-36.527356	100.000000	87.500377	50.001706	100.000000	0.250000	0.250000	0.250000	0.250000	
432	-36.527540	100.000000	87.501548	50.005419	100.000000	0.250000	0.250000	0.250000	0.250000	
433	-36.527541	100.000000	87.501548	50.005419	100.000000	0.250000	0.250000	0.250000	0.250000	
434	-36.521834	25.670781	22.459456	50.000052	100.000000	0.250000	0.250000	0.250000	0.250000	
435	-36.527124	52.062678	45.553200	25.026267	50.041306	0.250000	0.250000	0.250000	0.250000	
436	-36.523993	33.043702	28.896094	16.737255	33.414014	0.250000	0.250000	0.250000	0.250000	
437	-36.527288	99.232802	86.828723	50.000005	100.000000	0.250000	0.250000	0.250000	0.250000	
438	-36.521373	31.150012	27.178942	27.469331	54.920101	0.250000	0.250000	0.250000	0.250000	
439	-36.492737	27.965081	24.227272	23.723352	47.330536	0.250000	0.250000	0.250000	0.250000	
440	-36.526939	51.403645	44.960425	50.000770	100.000000	0.250000	0.250000	0.250000	0.250000	
441	-36.525165	100.000000	87.500264	21.266455	42.472744	0.250000	0.250000	0.250000	0.250000	
442	-36.527292	100.000000	87.500087	50.000234	100.000000	0.250000	0.250000	0.250000	0.250000	
443	-36.513784	100.000000	87.500044	12.289554	24.427567	0.250000	0.250000	0.250000	0.250000	
444	-36.527354	100.000000	87.500365	50.001661	100.000000	0.250000	0.250000	0.250000	0.250000	
445	-36.528117	100.000000	87.505748	50.014362	100.000000	0.250000	0.250000	0.250000	0.250000	
446	-36.527288	66.882004	58.521761	50.000011	100.000000	0.250000	0.250000	0.250000	0.250000	
447	-36.527289	100.000000	87.500078	50.000083	100.000000	0.250000	0.250000	0.250000	0.250000	
448	-36.527143	96.622564	84.544744	20.706360	41.409451	0.250000	0.250000	0.250000	0.250000	
449	-36.527304	100.000000	87.500060	50.000492	100.000000	0.250000	0.250000	0.250000	0.250000	
450	-36.527290	100.000000	87.500011	50.000099	100.000000	0.250000	0.250000	0.250000	0.250000	
451	-36.527288	100.000000	87.500003	50.000016	100.000000	0.250000	0.250000	0.250000	0.250000	
452	-36.509489	23.005572	19.993987	20.345852	40.640715	0.250000	0.250000	0.250000	0.250000	
453	-36.508125	21.567347	18.755042	19.752100	39.465429	0.250000	0.250000	0.250000	0.250000	
454	-36.516726	26.294002	22.930145	18.036576	36.010028	0.250000	0.250000	0.250000	0.250000	
455	-36.513163	22.385777	19.495094	17.847786	35.650929	0.250000	0.250000	0.250000	0.250000	
456	-36.519147	24.479926	21.344287	20.678279	41.331230	0.250000	0.250000	0.250000	0.250000	
457	-36.527313	100.000000	87.500117	50.000696	100.000000	0.250000	0.250000	0.250000	0.250000	
458	-36.527290	100.000000	87.500009	50.000075	100.000000	0.250000	0.250000	0.250000	0.250000	
459	-36.527292	100.000000	87.500006	50.000178	100.000000	0.250000	0.250000	0.250000	0.250000	
460	-36.527308	100.000000	87.500091	50.000597	100.000000	0.250000	0.250000	0.250000	0.250000	
461	-36.518374	22.115892	19.299310	14.127695	28.184664	0.250000	0.250000	0.250000	0.250000	
462	-36.527290	100.000000	87.500025	50.000097	100.000000	0.250000	0.250000	0.250000	0.250000	
463	-36.527289	99.999973	87.499992	50.000044	100.000000	0.250000	0.250000	0.250000	0.250000	
464	-36.375826	75.685094	66.225159	0.604727	4.114005	0.127638	0.372362	0.127638	0.372362	
465	-36.366945	99.873595	87.389420	0.716442	4.200491	0.141765	0.358235	0.141765	0.358235	
466	-36.527288	99.999336	87.499408	49.999988	99.999970	0.250000	0.250000	0.250000	0.250000	
467	-36.527333	100.000000	87.500234	50.001173	100.000000	0.250000	0.250000	0.250000	0.250000	
468	-36.514763	25.813149	22.518188	13.994587	27.895731	0.250000	0.250000	0.250000	0.250000	
469	-35.532485	81.479320	71.294436	0.857895	4.174304	0.180327	0.319673	0.180327	0.319673	
470	-36.223818	87.325374	76.409719	1.293579	4.786581	0.196711	0.303289	0.196711	0.303289	
471	-36.442579	95.032564	83.153496	1.536340	5.306919	0.216486	0.283514	0.216486	0.283514	
472	-36.440473	17.224726	14.842106	15.067367	29.998992	0.250000	0.250000	0.250000	0.250000	
473	-36.479428	19.526272	17.176522	50.002119	100.000000	0.250000	0.250000	0.250000	0.250000	
474	-35.812224	50.443871	44.138192	1.158885	4.298124	0.224569	0.275431	0.224569	0.275431	
475	-36.527369	100.000000	87.500446	50.001959	100.000000	0.250000	0.250000	0.250000	0.250000	
476	-35.764906	32.893925	28.760954	1.425765	4.976172	0.220431	0.279569	0.220431	0.279569	
477	-36.527218	99.876226	87.391707	16.989873	33.974801	0.250000	0.250000	0.250000	0.250000	
478	-36.527288	99.811450	87.335009	49.999575	99.999140	0.250000	0.250000	0.250000	0.250000	
479	-36.520821	32.956743	28.749625	20.036425	39.976358	0.250000	0.250000	0.250000	0.250000	
480	-36.442348	100.000000	87.500484	9.326838	18.115994	0.250000	0.250000	0.250000	0.250000	
481	-36.518404	18.701605	16.358546	49.999991	99.999975	0.250000	0.250000	0.250000	0.250000	
482	-36.527274	87.999536	76.999609	25.094449	50.187636	0.250000	0.250000	0.250000	0.250000	
